Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,1784.000000,1785.400024,1751.150024,1759.400024,1759.400024,6621839
2021-11-23,1735.099976,1747.250000,1710.000000,1736.900024,1736.900024,8436160
2021-11-24,1740.000000,1740.500000,1688.000000,1696.000000,1696.000000,7333061
2021-11-25,1700.000000,1726.199951,1696.949951,1722.400024,1722.400024,4476260
2021-11-26,1702.550049,1718.349976,1684.000000,1691.650024,1691.650024,4494181
2021-11-29,1691.000000,1712.000000,1669.150024,1696.349976,1696.349976,3942776
2021-11-30,1704.550049,1729.900024,1700.050049,1712.650024,1712.650024,14808963
2021-12-01,1715.000000,1741.900024,1713.000000,1714.900024,1714.900024,5193264
2021-12-02,1715.000000,1750.500000,1711.349976,1748.250000,1748.250000,5559574
2021-12-03,1771.099976,1786.650024,1732.550049,1735.550049,1735.550049,6754012
2021-12-06,1730.000000,1733.949951,1691.500000,1695.300049,1695.300049,3991449
2021-12-07,1701.099976,1724.900024,1694.000000,1711.650024,1711.650024,4202122
2021-12-08,1733.000000,1759.800049,1732.599976,1753.349976,1753.349976,3029169
2021-12-09,1759.000000,1769.400024,1742.000000,1763.449951,1763.449951,2082171
2021-12-10,1760.000000,1763.750000,1746.000000,1759.250000,1759.250000,1823469
2021-12-13,1767.050049,1771.349976,1738.800049,1744.650024,1744.650024,4040584
2021-12-14,1730.900024,1763.000000,1710.349976,1752.150024,1752.150024,4768144
2021-12-15,1745.000000,1747.949951,1721.199951,1734.199951,1734.199951,3053149
2021-12-16,1762.650024,1777.599976,1758.000000,1771.599976,1771.599976,4481031
2021-12-17,1820.000000,1842.000000,1806.750000,1820.849976,1820.849976,18887243
2021-12-20,1801.699951,1829.650024,1787.300049,1798.900024,1798.900024,5773891
2021-12-21,1801.000000,1838.000000,1801.000000,1811.599976,1811.599976,5353584
2021-12-22,1825.000000,1829.150024,1812.349976,1824.699951,1824.699951,4156428
2021-12-23,1831.250000,1861.599976,1827.000000,1857.599976,1857.599976,4112933
2021-12-24,1872.949951,1875.750000,1854.000000,1863.500000,1863.500000,3780347
2021-12-27,1860.000000,1874.500000,1845.050049,1866.150024,1866.150024,2647733
2021-12-28,1880.699951,1895.900024,1878.400024,1888.000000,1888.000000,3340933
2021-12-29,1883.500000,1893.800049,1876.400024,1885.550049,1885.550049,3236635
2021-12-30,1884.500000,1909.800049,1874.349976,1892.849976,1892.849976,4584738
2021-12-31,1890.000000,1898.349976,1871.650024,1887.750000,1887.750000,4619420
2022-01-03,1887.750000,1914.050049,1887.750000,1898.449951,1898.449951,3329616
2022-01-04,1898.449951,1906.650024,1878.000000,1899.150024,1899.150024,3921999
2022-01-05,1900.000000,1902.900024,1840.000000,1844.650024,1844.650024,6995719
2022-01-06,1828.000000,1828.000000,1800.000000,1817.800049,1817.800049,6449205
2022-01-07,1815.449951,1836.000000,1806.800049,1814.300049,1814.300049,4834389
2022-01-10,1815.000000,1869.900024,1813.000000,1850.750000,1850.750000,7857560
2022-01-11,1855.000000,1870.000000,1850.150024,1855.599976,1855.599976,5142287
2022-01-12,1868.900024,1889.000000,1860.000000,1877.449951,1877.449951,5362535
2022-01-13,1905.000000,1912.500000,1866.349976,1896.800049,1896.800049,14277630
2022-01-14,1882.000000,1933.000000,1881.000000,1929.349976,1929.349976,7688506
2022-01-17,1938.550049,1953.900024,1930.500000,1939.500000,1939.500000,5262464
2022-01-18,1922.099976,1945.000000,1911.449951,1920.750000,1920.750000,3690315
2022-01-19,1916.000000,1916.000000,1862.849976,1867.050049,1867.050049,5747770
2022-01-20,1844.000000,1848.000000,1815.500000,1823.699951,1823.699951,5533463
2022-01-21,1795.000000,1808.000000,1776.000000,1785.699951,1785.699951,8252758
2022-01-24,1765.000000,1768.650024,1728.000000,1736.800049,1736.800049,7116712
2022-01-25,1726.599976,1740.000000,1700.500000,1722.150024,1722.150024,9137653
2022-01-27,1702.000000,1709.699951,1665.000000,1678.599976,1678.599976,11231734
2022-01-28,1681.000000,1727.550049,1679.500000,1686.199951,1686.199951,10998502
2022-01-31,1718.000000,1749.500000,1715.349976,1736.199951,1736.199951,8788872
2022-02-01,1766.099976,1780.000000,1734.699951,1772.050049,1772.050049,5119935
2022-02-02,1789.000000,1792.800049,1772.000000,1787.099976,1787.099976,4253717
2022-02-03,1779.000000,1779.000000,1734.000000,1738.550049,1738.550049,3832922
2022-02-04,1732.000000,1753.949951,1710.150024,1741.099976,1741.099976,4700077
2022-02-07,1722.199951,1732.000000,1695.400024,1715.000000,1715.000000,4310209
2022-02-08,1710.000000,1725.000000,1696.000000,1717.300049,1717.300049,6053401
2022-02-09,1735.000000,1743.000000,1725.000000,1737.300049,1737.300049,3867244
2022-02-10,1755.650024,1773.900024,1748.750000,1769.599976,1769.599976,4334630
2022-02-11,1740.000000,1745.949951,1713.000000,1721.349976,1721.349976,7551371
